city,settle_date,market,forecast_blurred,actual,lo,hi,p_model,p_market,edge,action,entry_price,pnl_per_contract,won_bet
MIA,2026-05-04,KXHIGHMIA-26MAY04-B83.5,81.23,80.5,83.5,84.5,0.069,0.46,-0.391,NO,0.56,0.42,True
MIA,2026-05-05,KXHIGHMIA-26MAY05-B84.5,89.87,84.7,84.5,85.5,0.068,0.28,-0.212,NO,0.74,-0.75,False
MIA,2026-05-05,KXHIGHMIA-26MAY05-B80.5,89.87,84.7,80.5,81.5,0.004,0.11,-0.106,NO,0.91,0.08,True
MIA,2026-05-05,KXHIGHMIA-26MAY05-B86.5,89.87,84.7,86.5,87.5,0.13,0.48,-0.35,NO,0.54,0.44,True
MIA,2026-05-05,KXHIGHMIA-26MAY05-B82.5,89.87,84.7,82.5,83.5,0.022,0.12,-0.098,NO,0.9,0.09,True
MIA,2026-05-06,KXHIGHMIA-26MAY06-B88.5,86.12,86.3,88.5,89.5,0.068,0.63,-0.562,NO,0.39,0.59,True
MIA,2026-05-06,KXHIGHMIA-26MAY06-B90.5,86.12,86.3,90.5,91.5,0.021,0.25,-0.229,NO,0.77,0.22,True
MIA,2026-05-07,KXHIGHMIA-26MAY07-B91.5,90.88,93.6,91.5,92.5,0.096,0.56,-0.464,NO,0.46,0.52,True
MIA,2026-05-07,KXHIGHMIA-26MAY07-B93.5,90.88,93.6,93.5,94.5,0.057,0.14,-0.083,NO,0.88,-0.89,False
MIA,2026-05-07,KXHIGHMIA-26MAY07-B89.5,90.88,93.6,89.5,90.5,0.075,0.22,-0.145,NO,0.8,0.19,True
MIA,2026-05-08,KXHIGHMIA-26MAY08-B92.5,93.28,94.3,92.5,93.5,0.132,0.62,-0.488,NO,0.4,0.58,True
MIA,2026-05-09,KXHIGHMIA-26MAY09-B89.5,88.87,92.4,89.5,90.5,0.096,0.25,-0.154,NO,0.77,0.22,True
MIA,2026-05-09,KXHIGHMIA-26MAY09-B91.5,88.87,92.4,91.5,92.5,0.057,0.53,-0.473,NO,0.49,-0.51,False
MIA,2026-05-09,KXHIGHMIA-26MAY09-B93.5,88.87,92.4,93.5,94.5,0.01,0.37,-0.36,NO,0.65,0.33,True
AUS,2026-04-30,KXHIGHAUS-26APR30-B82.5,71.87,72.2,82.5,83.5,0.0,0.44,-0.44,NO,0.58,0.4,True
AUS,2026-04-30,KXHIGHAUS-26APR30-B76.5,71.87,72.2,76.5,77.5,0.017,0.6,-0.583,NO,0.42,0.56,True
AUS,2026-04-30,KXHIGHAUS-26APR30-B78.5,71.87,72.2,78.5,79.5,0.0,0.55,-0.55,NO,0.47,0.51,True
AUS,2026-04-30,KXHIGHAUS-26APR30-B80.5,71.87,72.2,80.5,81.5,0.0,0.44,-0.44,NO,0.58,0.4,True
AUS,2026-05-01,KXHIGHAUS-26MAY01-B65.5,63.31,65.6,65.5,66.5,0.014,0.31,-0.296,NO,0.71,-0.72,False
AUS,2026-05-01,KXHIGHAUS-26MAY01-B67.5,63.31,65.6,67.5,68.5,0.019,0.22,-0.201,NO,0.8,0.19,True
AUS,2026-05-02,KXHIGHAUS-26MAY02-B75.5,72.21,72.4,75.5,76.5,0.053,0.5,-0.447,NO,0.52,0.46,True
AUS,2026-05-02,KXHIGHAUS-26MAY02-B73.5,72.21,72.4,73.5,74.5,0.016,0.28,-0.264,NO,0.74,0.25,True
AUS,2026-05-03,KXHIGHAUS-26MAY03-B78.5,78.85,76.9,78.5,79.5,0.081,0.6,-0.519,NO,0.42,0.56,True
AUS,2026-05-03,KXHIGHAUS-26MAY03-B80.5,78.85,76.9,80.5,81.5,0.012,0.34,-0.328,NO,0.68,0.3,True
AUS,2026-05-04,KXHIGHAUS-26MAY04-B84.5,78.71,79.6,84.5,85.5,0.001,0.63,-0.629,NO,0.39,0.59,True
AUS,2026-05-04,KXHIGHAUS-26MAY04-B86.5,78.71,79.6,86.5,87.5,0.0,0.31,-0.31,NO,0.71,0.28,True
AUS,2026-05-04,KXHIGHAUS-26MAY04-B82.5,78.71,79.6,82.5,83.5,0.034,0.33,-0.296,NO,0.69,0.3,True
AUS,2026-05-05,KXHIGHAUS-26MAY05-B88.5,85.56,84.3,88.5,89.5,0.051,0.39,-0.339,NO,0.63,0.35,True
AUS,2026-05-05,KXHIGHAUS-26MAY05-B90.5,85.56,84.3,90.5,91.5,0.015,0.26,-0.245,NO,0.76,0.23,True
AUS,2026-05-06,KXHIGHAUS-26MAY06-B88.5,75.59,76.2,88.5,89.5,0.0,0.2,-0.2,NO,0.82,0.17,True
AUS,2026-05-06,KXHIGHAUS-26MAY06-B86.5,75.59,76.2,86.5,87.5,0.0,0.39,-0.39,NO,0.63,0.35,True
AUS,2026-05-07,KXHIGHAUS-26MAY07-B74.5,67.94,67.3,74.5,75.5,0.0,0.14,-0.14,NO,0.88,0.11,True
AUS,2026-05-07,KXHIGHAUS-26MAY07-B72.5,67.94,67.3,72.5,73.5,0.017,0.26,-0.243,NO,0.76,0.23,True
AUS,2026-05-07,KXHIGHAUS-26MAY07-B70.5,67.94,67.3,70.5,71.5,0.032,0.25,-0.218,NO,0.77,0.22,True
AUS,2026-05-08,KXHIGHAUS-26MAY08-B78.5,81.64,77.8,78.5,79.5,0.08,0.29,-0.21,NO,0.73,0.26,True
AUS,2026-05-08,KXHIGHAUS-26MAY08-B76.5,81.64,77.8,76.5,77.5,0.086,0.23,-0.144,NO,0.79,0.2,True
AUS,2026-05-08,KXHIGHAUS-26MAY08-B80.5,81.64,77.8,80.5,81.5,0.116,0.45,-0.334,NO,0.57,0.41,True
AUS,2026-05-09,KXHIGHAUS-26MAY09-B85.5,88.04,87.2,85.5,86.5,0.135,0.25,-0.115,NO,0.77,0.22,True
AUS,2026-05-09,KXHIGHAUS-26MAY09-B87.5,88.04,87.2,87.5,88.5,0.076,0.2,-0.124,NO,0.82,0.17,True
AUS,2026-05-09,KXHIGHAUS-26MAY09-B89.5,88.04,87.2,89.5,90.5,0.013,0.42,-0.407,NO,0.6,0.38,True
NY,2026-05-10,KXHIGHNY-26MAY10-B78.5,75.7,74.8,78.5,79.5,0.061,0.15,-0.089,NO,0.87,0.12,True
NY,2026-05-10,KXHIGHNY-26MAY10-B72.5,75.7,74.8,72.5,73.5,0.056,0.75,-0.694,NO,0.27,0.72,True
NY,2026-05-10,KXHIGHNY-26MAY10-B76.5,75.7,74.8,76.5,77.5,0.1,0.25,-0.15,NO,0.77,0.22,True
NY,2026-05-11,KXHIGHNY-26MAY11-B64.5,61.6,62.7,64.5,65.5,0.065,0.32,-0.255,NO,0.7,0.29,True
