city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
MIA,2026-05-03,KXHIGHMIA-26MAY03-B85.5,81.8,83.6,85.5,86.5,0.0,0.19,-0.19,NO,0.83,False,0.16
MIA,2026-05-03,KXHIGHMIA-26MAY03-B83.5,81.8,83.6,83.5,84.5,0.035,0.5,-0.465,NO,0.52,True,-0.54
MIA,2026-05-03,KXHIGHMIA-26MAY03-B81.5,81.8,83.6,81.5,82.5,0.264,0.44,-0.176,NO,0.58,False,0.4
MIA,2026-05-04,KXHIGHMIA-26MAY04-B81.5,80.8,80.5,81.5,82.5,0.11,0.29,-0.18,NO,0.73,False,0.26
MIA,2026-05-04,KXHIGHMIA-26MAY04-B79.5,80.8,80.5,79.5,80.5,0.32,0.12,0.2,YES,0.14,False,-0.15
MIA,2026-05-04,KXHIGHMIA-26MAY04-B85.5,80.8,80.5,85.5,86.5,0.0,0.22,-0.22,NO,0.8,False,0.19
MIA,2026-05-04,KXHIGHMIA-26MAY04-B83.5,80.8,80.5,83.5,84.5,0.045,0.46,-0.415,NO,0.56,False,0.42
MIA,2026-05-05,KXHIGHMIA-26MAY05-B84.5,87.8,84.7,84.5,85.5,0.059,0.28,-0.221,NO,0.74,True,-0.75
MIA,2026-05-05,KXHIGHMIA-26MAY05-B80.5,87.8,84.7,80.5,81.5,0.0,0.11,-0.11,NO,0.91,False,0.08
MIA,2026-05-05,KXHIGHMIA-26MAY05-B86.5,87.8,84.7,86.5,87.5,0.32,0.48,-0.16,NO,0.54,False,0.44
MIA,2026-05-05,KXHIGHMIA-26MAY05-B82.5,87.8,84.7,82.5,83.5,0.0,0.12,-0.12,NO,0.9,False,0.09
MIA,2026-05-06,KXHIGHMIA-26MAY06-B88.5,87.4,86.3,88.5,89.5,0.09,0.63,-0.54,NO,0.39,False,0.59
MIA,2026-05-06,KXHIGHMIA-26MAY06-B90.5,87.4,86.3,90.5,91.5,0.01,0.25,-0.24,NO,0.77,False,0.22
MIA,2026-05-06,KXHIGHMIA-26MAY06-B86.5,87.4,86.3,86.5,87.5,0.307,0.15,0.157,YES,0.17,False,-0.18
MIA,2026-05-07,KXHIGHMIA-26MAY07-B91.5,90.4,93.6,91.5,92.5,0.09,0.56,-0.47,NO,0.46,False,0.52
MIA,2026-05-07,KXHIGHMIA-26MAY07-B93.5,90.4,93.6,93.5,94.5,0.01,0.14,-0.13,NO,0.88,True,-0.89
MIA,2026-05-07,KXHIGHMIA-26MAY07-B89.5,90.4,93.6,89.5,90.5,0.307,0.22,0.087,YES,0.24,False,-0.25
MIA,2026-05-08,KXHIGHMIA-26MAY08-B92.5,91.4,94.3,92.5,93.5,0.09,0.62,-0.53,NO,0.4,False,0.58
MIA,2026-05-09,KXHIGHMIA-26MAY09-B91.5,89.8,92.4,91.5,92.5,0.035,0.53,-0.495,NO,0.49,True,-0.51
MIA,2026-05-09,KXHIGHMIA-26MAY09-B93.5,89.8,92.4,93.5,94.5,0.0,0.37,-0.37,NO,0.65,False,0.33
AUS,2026-04-30,KXHIGHAUS-26APR30-B82.5,70.5,72.2,82.5,83.5,0.0,0.44,-0.44,NO,0.58,False,0.4
AUS,2026-04-30,KXHIGHAUS-26APR30-B76.5,70.5,72.2,76.5,77.5,0.0,0.6,-0.6,NO,0.42,False,0.56
AUS,2026-04-30,KXHIGHAUS-26APR30-B78.5,70.5,72.2,78.5,79.5,0.0,0.55,-0.55,NO,0.47,False,0.51
AUS,2026-04-30,KXHIGHAUS-26APR30-B80.5,70.5,72.2,80.5,81.5,0.0,0.44,-0.44,NO,0.58,False,0.4
AUS,2026-05-01,KXHIGHAUS-26MAY01-B65.5,65.3,65.6,65.5,66.5,0.088,0.31,-0.222,NO,0.71,True,-0.72
