settle_date,ticker,side,entry_price,contracts,result,settle_price,pnl_dollars,source_workflow
2026-06-06,KXHIGHNY-26JUN06-B91.5,yes,0.18,5,no,0.0,-0.9,midday
2026-06-06,KXHIGHNY-26JUN06-B89.5,yes,0.57,1,no,0.0,-0.57,midday
2026-06-06,KXHIGHCHI-26JUN06-B83.5,yes,0.21,4,no,0.0,-0.84,midday
2026-06-06,KXHIGHMIA-26JUN06-B87.5,no,0.81,4,yes,0.0,-3.24,midday
2026-06-06,KXHIGHLAX-26JUN06-B71.5,yes,0.51,1,no,0.0,-0.51,midday
2026-06-06,KXHIGHLAX-26JUN06-T72,yes,0.21,4,yes,1.0,3.16,midday
2026-06-06,KXHIGHCHI-26JUN06-B85.5,no,0.5,1,no,1.0,0.5,midday
2026-06-05,KXHIGHLAX-26JUN05-B71.5,yes,0.35,2,no,0.0,-0.84,midday
2026-06-05,KXHIGHNY-26JUN05-B87.5,yes,0.68,1,yes,1.0,0.32,midday
2026-06-05,KXHIGHAUS-26JUN05-B87.5,no,0.58,3,yes,0.0,-1.74,midday
2026-06-05,KXHIGHLAX-26JUN05-B69.5,yes,0.54,2,yes,1.0,0.92,midday
2026-06-05,KXHIGHNY-26JUN05-B89.5,yes,0.25,5,no,0.0,-1.25,midday
2026-06-05,KXHIGHAUS-26JUN05-B85.5,yes,0.44,3,no,0.0,-1.32,midday
2026-06-05,KXHIGHLAX-26JUN05-B69.5,yes,0.21,6,yes,1.0,4.74,midday
2026-06-05,KXHIGHMIA-26JUN05-B85.5,no,0.83,8,yes,0.0,-6.64,midday
2026-06-05,KXHIGHLAX-26JUN05-B73.5,yes,0.14,10,no,0.0,-1.4,midday
2026-06-05,KXHIGHLAX-26JUN05-B71.5,yes,0.63,2,no,0.0,-1.26,midday
2026-06-05,KXHIGHNY-26JUN05-B89.5,yes,0.79,1,no,0.0,-0.79,midday
2026-06-05,KXHIGHNY-26JUN05-B91.5,yes,0.14,1,no,0.0,-0.17,midday
2026-06-05,KXHIGHNY-26JUN05-B91.5,yes,0.14,6,no,0.0,-0.84,midday
2026-06-04,KXHIGHAUS-26JUN04-B88.5,no,0.37,1,no,1.0,0.63,midday
2026-06-04,KXHIGHLAX-26JUN04-B70.5,no,0.42,2,no,1.0,1.16,midday
2026-06-04,KXHIGHLAX-26JUN04-B72.5,no,0.54,3,yes,0.0,-1.62,midday
2026-06-04,KXHIGHAUS-26JUN04-B86.5,yes,0.43,3,yes,1.0,1.71,midday
2026-06-04,KXHIGHAUS-26JUN04-B84.5,yes,0.14,6,no,0.0,-0.84,midday
2026-06-04,KXHIGHLAX-26JUN04-B70.5,no,0.72,4,no,1.0,1.12,midday
2026-06-04,KXHIGHMIA-26JUN04-T86,no,0.16,1,no,1.0,0.84,midday
2026-06-04,KXHIGHNY-26JUN04-B86.5,yes,0.72,1,yes,1.0,0.28,midday
2026-06-04,KXHIGHAUS-26JUN04-B84.5,yes,0.14,3,no,0.0,-0.42,midday
2026-06-04,KXHIGHMIA-26JUN04-B85.5,no,0.75,4,yes,0.0,-3.0,midday
2026-06-04,KXHIGHLAX-26JUN04-B72.5,no,0.19,1,yes,0.0,-0.19,midday
2026-06-04,KXHIGHCHI-26JUN04-B86.5,yes,0.54,1,yes,1.0,0.46,midday
2026-06-04,KXHIGHCHI-26JUN04-B88.5,no,0.41,1,no,1.0,0.59,midday
2026-06-04,KXHIGHNY-26JUN04-B84.5,yes,0.17,7,no,0.0,-1.19,midday
